No    Ref    V       B-V     
 0001   548  20.196   0.353      
 0002   548  19.682   1.445         
 0003   548  23.051  -1.588         
 0004   548  19.624   1.375         
 0005   548  20.023   2.029         
 0006   548  20.137   1.333         
 0007   548  20.184   1.479         
 0008   548  18.303   1.758         
 0009   548  21.512   1.164         
 0010   548  23.154  -2.028         
 0011   548  19.346   1.999         
 0012   548  20.189   1.660         
 0013   548  16.363   1.601         
 0014   548  19.690   2.257         
 0015   548  20.294   1.559         
 0016   548  21.239  -1.473         
 0017   548  21.231  -0.975         
 0018   548  20.237   0.994         
 0019   548  16.318   2.817         
 0020   548  18.063   2.090         
 0021   548  19.046   2.037         
 0022   548  17.748   1.980         
 0023   548  18.306   1.924         
 0024   548  20.456   1.330         
 0025   548  15.238   1.142         
 0026   548  19.643   2.719         
 0027   548  18.118   2.670         
 0028   548  18.189   3.517         
 0029   548  19.062   2.559         
 0030   548  23.479  -2.516         
 0031   548  17.738   1.607         
 0032   548  16.581   1.672         
 0033   548  16.840   1.922         
 0034   548  20.996   2.331         
 0035   548  20.615   1.102         
 0036   548  20.614  -0.031         
 0037   548  15.443   1.501         
 0038   548  20.923   2.407         
 0039   548  17.316   1.641         
 0040   548  20.528   2.111         
 0041   548  21.566   0.771         
 0042   548  19.770   1.779         
 0043   548  20.429   2.634         
 0044   548  18.131   1.988         
 0045   548  20.969   2.745         
 0046   548  20.318   2.077         
 0047   548  18.292   1.092         
 0048   548  19.965   2.259         
 0049   548  17.585   1.728         
 0050   548  17.741   0.513         
 0051   548  20.231   1.880         
 0052   548  18.182   2.119         
 0053   548  18.038  -0.321         
 0054   548  19.559   2.140         
 0055   548  17.871  -0.340         
 0056   548  17.973  -0.281         
 0057   548  17.744  -1.249         
 0058   548  19.814   1.482         
 0059   548  18.189  -1.066         
 0060   548  17.613   2.477         
 0061   548  22.512  -0.398         
 0062   548  17.663  -0.126         
 0063   548  17.882  -2.463         
 0064   548  20.905   1.028         
 0065   548  17.564   3.527         
 0066   548  22.302   0.305         
 0067   548  17.735   0.384         
 0068   548  18.311  -1.254         
 0069   548  20.844   1.680         
 0070   548  17.816  -0.928         
 0071   548  22.381  -1.882         
 0072   548  10.398   0.099         
 0073   548  19.568   2.463         
 0074   548  21.114   1.304         
 0075   548  13.606   0.906         
 0076   548  17.855  -0.405         
 0077   548  19.142   2.129         
 0078   548  20.815   1.816         
 0079   548  19.158   2.251         
 0080   548  17.789   0.066         
 0081   548  17.826  -0.386         
 0082   548  17.656   0.068         
 0083   548  20.585   1.439         
 0084   548  17.706  -0.059         
 0085   548  22.868  -0.372         
 0086   548  22.498  -1.776         
 0087   548  17.424   0.189         
 0088   548  20.233   1.696         
 0089   548  20.158   2.253         
 0090   548  17.965  -0.188         
 0091   548  18.410   2.362         
 0092   548  21.463  -0.635         
 0093   548  21.005   1.818         
 0094   548  15.337   1.271         
 0095   548  21.045  -1.182         
 0096   548  17.183   1.632         
 0097   548  20.853   1.858         
 0098   548  21.863   1.442         
 0099   548  20.343   1.790         
 0100   548  15.958   1.625         
 0101   548  22.367   0.903         
 0102   548  18.772   2.138         
 0103   548  19.017   1.987         
 0104   548  14.898   2.484         
 0105   548  17.987   1.858         
 0106   548  21.158  -0.871         
 0107   548  18.489   2.377         
 0108   548  20.869   1.384         
 0109   548  16.374   1.491         
 0110   548  19.932   2.175         
 0111   548  16.998   1.666         
 0112   548  21.862   1.294         
 0113   548  22.117   0.716         
 0114   548  19.406   2.498         
 0115   548  21.225   1.313         
 0116   548  19.137   3.768         
 0117   548  18.954   2.227         
 0118   548  16.026   1.557         
 0119   548  17.621   1.737         
 0120   548  19.227   3.613         
 0121   548  19.905   1.877         
 0122   548  20.596   0.278         
 0123   548  18.357   1.827         
 0124   548  20.598   1.188         
 0125   548  16.265   1.793         
 0126   548  20.250   2.348         
 0127   548  19.545   2.353         
 0128   548  18.532   1.755         
 0129   548  19.677   2.180         
 0130   548  19.104   3.252         
 0131   548  17.628   1.810         
 0132   548  17.127   1.982         
 0133   548  19.448   1.980         
 0134   548  19.343   5.897         
 0135   548  22.395   0.231         
 0136   548  20.152   2.442         
 0137   548  22.357   0.131         
 0138   548  19.556   2.077         
 0139   548  23.511  -1.875         
 0140   548  18.213   1.925         
 0141   548  20.847   0.091         
 0142   548  16.509   1.656         
 0143   548  19.306   1.857         
 0144   548  19.189   2.227         
 0145   548  21.666   0.770         
 0146   548  21.862  -0.829         
 0147   548  16.308   2.162         
 0148   548  19.893   1.968         
 0149   548  17.316   1.559         
 0150   548  22.793  -2.661         
 0151   548  17.901   2.315         
 0152   548  19.126   1.990         
 0153   548  16.598   1.765         
 0154   548  18.851   1.913         
 0155   548  20.050   1.756         
 0156   548  15.617   2.774         
 0157   548  21.182   1.405         
 0158   548  21.726  -0.810         
 0159   548  16.283   1.547         
 0160   548  21.099   1.782         
 0161   548  19.852   2.574         
 0162   548  19.687   2.532         
 0163   548  22.235  -1.873         
 0164   548  18.566   1.986         
 0165   548  20.520   2.385         
 0166   548  21.413  -2.244         
 0167   548  21.723  -0.575         
 0168   548  22.302  -1.469         
 0169   548  20.639   1.991         
 0170   548  22.851  -0.796         
 0171   548  22.652  -0.319         
 0172   548  19.307   1.922         
 0173   548  18.598   2.039         
 0174   548  19.073   2.478         
 0175   548  19.202   2.790         
 0176   548  19.528   2.054         
 0177   548  15.803   1.362         
 0178   548  21.607  -0.586         
 0179   548  19.142   1.817         
 0180   548  14.870   2.516         
 0181   548  21.470  -0.591         
 0182   548  19.915   3.241         
 0183   548  20.771   1.162         
 0184   548  20.163   3.257         
 0185   548  18.336   1.957         
 0186   548  22.046  -1.303         
 0187   548  20.375   3.107         
 0188   548  22.149  -0.383         
 0189   548  18.699   1.975         
 0190   548  21.909   0.761         
 0191   548  20.368   1.616         
 0192   548  18.960   2.356         
 0193   548  18.962   3.018         
 0194   548  20.403   1.648         
 0195   548  21.603  -0.896         
 0196   548  15.968   2.148         
 0197   548  22.342   0.649         
 0198   548  14.003   0.778         
 0199   548  18.121   2.046         
 0200   548  21.079   2.084         
 0201   548  21.627  -2.530         
 0202   548  15.395   1.304         
 0203   548  18.566   2.001         
 0204   548  16.223   1.803         
 0205   548  14.356   1.083         
 0206   548  18.125   1.941         
 0207   548  19.494   1.992         
 0208   548  18.070   2.072         
 0209   548  20.150   1.066         
 0210   548  19.306   2.327         
 0211   548  16.860   1.436         
 0212   548  21.436  -0.673         
 0213   548  22.097  -2.088         
 0214   548  18.974   2.942         
 0215   548  14.213   0.827         
 0216   548  21.174  -0.019         
 0217   548  23.885  -2.017         
 0218   548  15.584   1.144         
 0219   548  13.524   0.804         
 0220   548  19.434   2.015         
 0221   548  18.162   3.570         
 0222   548  20.343   2.149         
 0223   548  16.996   1.758         
 0224   548  18.759   1.947         
 0225   548  20.195   0.934         
 0226   548  22.910   1.198         
 0227   548  19.622   2.376         
 0228   548  18.622   2.126         
 0229   548  12.853   2.162         
 0230   548  19.739   2.002         
 0231   548  22.462  -2.334         
 0232   548  21.214  -0.333         
 0233   548  21.121   1.252         
 0234   548  21.573  -0.566         
 0235   548  18.280   3.405         
 0236   548  21.942   0.177         
 0237   548  21.163   0.293         
 0238   548  20.435   0.710         
 0239   548  19.881   2.204         
 0240   548  17.988   1.930         
 0241   548  19.143   1.760         
 0242   548  17.501   1.857         
 0243   548  18.793   2.090         
 0244   548  19.511   2.255         
 0245   548  18.920   1.956         
 0246   548  19.611   2.511         
 0247   548  15.569   1.525         
 0248   548  14.154   1.094         
 0249   548  19.509   2.170         
 0250   548  16.440   1.729         
 0251   548  18.913   2.365         
 0252   548  17.600   1.796         
 0253   548  17.858   2.869         
 0254   548  20.686   1.847         
 0255   548  22.537  -0.337         
 0256   548  18.104   2.183         
 0257   548  17.822   1.766         
 0258   548  19.258   2.056         
 0259   548  22.991  -2.839         
 0260   548  21.291  -0.516         
 0261   548  20.223   1.792         
 0262   548  20.681   2.493         
 0263   548  20.286   1.695         
 0264   548  20.981   2.625         
 0265   548  20.707   2.737         
 0266   548  16.572   1.515         
 0267   548  17.201   1.598         
 0268   548  20.909   0.816         
 0269   548  18.008   1.765         
 0270   548  20.295   1.977         
 0271   548  21.731  -2.392         
 0272   548  22.729  -2.148         
 0273   548  19.871   2.483         
